Roll: 0901EE16
Semester Wise Details
Subject,Credits,Type,Grade,Sem
CH101,8,CORE,F,1
CH110,3,CORE,BB,1
EE101,8,CORE,DD,1
HS101,6,CORE,DD,1
MA101,8,CORE,DD,1
ME110,3,CORE,AB,1
ME111,7,CORE,CD,1
PH101,6,CORE,DD,1
CH102,6,CORE,DD,2
CS101,6,CORE,DD,2
CS110,3,CORE,CD,2
EE102,4,CORE,BC,2
MA102,8,CORE,DD,2
ME101,8,CORE,F,2
PH102,6,CORE,CD,2
PH110,3,CORE,CC,2
CS201,9,CORE,F,3
EE200,6,CORE,CC,3
EE201,6,CORE,DD,3
EE202,3,CORE,CD,3
EE220,8,CORE,DD,3
HS201,6,HS ELECTIVE,DD,3
MA201,8,CORE,F,3
EE203,6,CORE,DD,4
EE204,3,CORE,CD,4
EE230,8,CORE,CC,4
EE280,6,CORE,CC,4
EE281,3,CORE,DD,4
HS202,6,HS Elective,DD,4
MA225,8,CORE,CD,4
MA251,6,Elective-Sc.,DD,4
